playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
200641,Reiss Nelson,FOR,1902,TSG 1899 Hoffenheim,TSG,1,0,5.6,0,0.050,0.8888888888888888,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/420816.png,0,0.00000
195473,Rhian Brewster,FOR,14,Liverpool,LIV,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/454401.png,0,0.00000
82436,Richmond Boakye,FOR,214,Crvena Zvezda,RSB,2,0,5.1,0,0.050,0.975609756097561,d,a,1,0,0,0,0,0,0,0,0,5.2,5.1,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/124895.png,0,0.00000
161973,Rifat Zhemaletdinov,FOR,271,Lokomotiv Moscow,LCM,1,0,5.4,0,0.025,0.4608294930875576,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/295553.png,0,0.00000
56764,Robert Lewandowski,FOR,156,FC Bayern München,BAY,9,0,8.0,0,0.025,0.31347962382445144,d,a,2,1,0,0,0,0,0,0,0,8.0,7.9,9,https://secure.cache.images.core.optasports.com/soccer/players/150x150/41310.png,0,0.00000
80954,Rodrigo,FOR,191,Valencia CF,VAL,4,0,7.0,0,0.025,0.3597122302158274,d,a,2,0,0,0,0,0,0,0,0,7.0,7.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/116726.png,0,0.00000
66749,Romelu Lukaku,FOR,1,Manchester United,MNU,4,0,7.7,0,0.025,0.32679738562091504,d,a,2,0,0,0,0,0,0,0,0,7.7,7.7,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/79495.png,0,0.00000
226194,Samuel Grandsir,FOR,146,Monaco,MON,8,0,5.5,0,0.025,0.45662100456621013,d,a,1,1,0,0,0,0,0,0,0,5.5,5.4,8,https://secure.cache.images.core.optasports.com/soccer/players/150x150/327832.png,0,0.00000
37265,Sanchez. A,FOR,1,Manchester United,MNU,2,0,7.5,0,0.025,0.33222591362126247,d,a,1,0,0,0,0,0,0,0,0,7.6,7.5,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/4117.png,0,0.00000
45015,Sandro Wagner,FOR,156,FC Bayern München,BAY,0,0,6.8,0,0.050,0.7352941176470589,d,a,0,0,0,0,0,0,0,0,0,6.9,6.8,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/55796.png,0,0.00000
150360,Santi Mina,FOR,191,Valencia CF,VAL,1,0,6.6,0,0.050,0.7547169811320755,d,d,0,0,0,0,0,0,0,0,0,6.7,6.6,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/281410.png,0,0.00000
37572,Sergio Agüero,FOR,43,Manchester City,MNC,8,0,8.0,0,0.100,1.2539184952978057,u,a,1,1,0,0,0,0,0,0,0,8.0,7.9,8,https://secure.cache.images.core.optasports.com/soccer/players/150x150/3051.png,0,0.00000
86949,Sergio Araujo,FOR,234,AEK Athens,AEK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
120939,Siebe Schrijvers,FOR,413,Club Brugge,BRU,2,0,5.2,0,0.025,0.47846889952153115,d,a,1,0,0,0,0,0,0,0,0,5.3,5.2,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/215353.png,0,0.00000
149038,Sinan Gümüs,FOR,208,Galatasaray,GAL,2,0,5.4,0,0.025,0.4608294930875576,d,a,1,0,0,0,0,0,0,0,0,5.5,5.4,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/260027.png,0,0.00000
175694,Slavoljub Srnic,FOR,214,Crvena Zvezda,RSB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/164092.png,0,0.00000
58928,Stephan El Shaarawy,FOR,121,Roma,ROM,2,0,6.1,0,0.050,0.8163265306122449,d,a,1,0,0,0,0,0,0,0,0,6.2,6.1,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/69323.png,0,0.00000
