playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
73140,Oliver Baumann,GK,1902,TSG 1899 Hoffenheim,TSG,3,0,5.8,0,0.025,0.43478260869565216,d,a,2,0,0,4,0,6,0,0,0,5.8,5.8,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/54482.png,0,0.00000
48332,Orestis Karnezis,GK,459,Napoli,NAP,0,0,5.6,0,0.050,0.892857142857143,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/19129.png,0,0.00000
222789,Panagiotis Dounis,GK,234,AEK Athens,AEK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
463482,Panagiotis Ginis,GK,234,AEK Athens,AEK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/560677.png,0,0.00000
127461,Panagiotis Tsintotas,GK,234,AEK Athens,AEK,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/217229.png,0,0.00000
102884,Paulo Gazzaniga,GK,6,Tottenham Hotspur,TOT,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/199612.png,0,0.00000
38719,Paulo Lopes,GK,251,Benfica,BEN,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
240889,Pavel Ovchinnikov,GK,1340,CSKA Moscow,CSK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
39944,Petr Bolek,GK,2703,Viktoria Plzen,VIK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
28082,Ralf Fährmann,GK,167,FC Schalke 04,SCH,14,0,6.0,0,0.100,1.6666666666666667,u,a,2,0,0,1,1,4,0,0,0,6.0,5.8,14,https://secure.cache.images.core.optasports.com/soccer/players/150x150/16111.png,0,0.00000
