Name,Value (in Millions)
Fran Brodic,5.0
Francis Coquelin,5.4
Franck Rib\u00e9ry,6.7
Franco Cervi,5.8
Franco Di Santo,6.2
Fred,6.0
Frenkie de Jong,5.8
G\u00f6tze. M,5.9
Gabriel,5.4
Gabriel,5.7
Gareth Bale,7.9
Gast\u00f3n Pereiro,6.4
Gedson Fernandes,5.6
Gelson Martins,6.3
Geoffrey Kondogbia,5.7
Georges-K\u00e9vin Nkoudou,5.2
Georgi Kyrnats,5.2
Georginio Wijnaldum,5.7
Georgios Giakoumakis,5.4
Georgy Schennikov,5.2
Gerard Piqu\u00e9,6.5
Germ\u00e1n Conti,5.6
Gianluigi Buffon,6.1
Giannis Gianniotas,5.2
Giannis-Foivos Botos,5.0
Gim\u00e9nez,6.3
Giorgio Chiellini,6.3
Giorgos Giannoutsos,5.1
Gon\u00e7alo Guedes,6.4
Goran Causic,5.3
Gregor Kobel,5.3
Gregory W\u00fcthrich,5.3
Grzegorz Krychowiak,5.4
Guido Burgstaller,6.2
Guilherme,5.5
Guillaume Hoarau,5.5
Guillaume Hubert,5.0
H\u00e5vard Nordtveit,5.8
H\u00e9ctor Herrera,5.9
H\u00e9lder Lopes,5.2
H\u00f6rdur Magn\u00fasson,5.0
Hakan Balta,5.2
Hakim Ziyech,6.6
Hamza Mendyl,5.6
Hans Vanaken,5.3
Haris Seferovic,6.4
Harry Kane,8.0
Harry Winks,5.5
Hassane Band\u00e9,5.5
Helibelton Palacios,5.0
Henry Onyekuru,5.6
Hirving Lozano,6.5
Houssem Aouar,5.8
Hrvoje Milic,5.0
Hugo Lloris,6.2
Hugo Miguel Pereira de Almeida,5.0
Igor Akinfeev,5.7
Igor Denisov,5.4
Igor Portnyagin,5.3
Iker Casillas,5.9
Ilkay G\u00fcndogan,5.9
Ilya Pomazun,5.3
Ilzat Akhmetov,5.4
Isco,7.5
Ishak Belfodil,5.6
Ismail Cipe,5.2
Ismaily,5.6
Ivan Ilic,5.1
Ivan Lapshov,5.1
Ivan Oblyakov,5.4
Ivan Ordets,5.3
Ivan Perisic,7.4
Ivan Rakitic,7.1
Ivan Tomecak,5.0
J\u00e9r\u00e9my Morel,5.6
J\u00e9r\u00f4me Boateng,6.4
Jacob Bruun Larsen,5.2
Jadon Sancho,5.9
Jaka Bijol,5.3
Jakub Reznicek,5.3
Jakub Siman,5.0
James Milner,6.2
James Rodr\u00edguez,7.4
Jan Kopic,5.4
Jan Kovarik,5.3
Jan Kronig,5.1
Jan Oblak,6.3
Jan Vertonghen,6.2
Jardel,5.5
Jason Denayer,5.6
Jasper Cillessen,5.8
Jaume,5.4
Javi Mart\u00ednez,5.7
Javier Pastore,6.2
Jean Eudes Aholou,5.8
Jean-Charles Castelletto,5.0
Jean-Pierre Nsame,5.0
Jefferson Farf\u00e1n,5.7
Jeison Murillo,5.4
Jeison Murillo,5.4
Jelle Vossen,5.4
Jemerson,5.6
Jens Teunckens,5.0
Jeremy Toljan,5.8
Jeroen Zoet,5.9
Jes\u00fas Manuel Corona,6.1
Jes\u00fas Vallejo,5.0
Jesse Lingard,6.5
Jesus. Gabriel,7.3
Jo\u00e3o Cancelo,6.0
Jo\u00e3o F\u00e9lix,5.3
Jo\u00e3o M\u00e1rio,5.7
Jo\u00e3o Pedro,5.2
Jo\u00ebl Veltman,5.4
Joel Matip,5.5
Johannes Geis,5.1
John Stones,6.0
Jokin Ezkieta,5.4
Jonas,6.0
Jonathan Mexique,5.0
Jones.P,5.7
Jordan Ferri,5.1
Jordan Henderson,6.0
Jordan Lotomba,5.1
Jordan Teze,5.3
Jordi Alba,6.8
Jordi Mboula,5.2
Jordy Gaspar,5.0
Jorrit Hendrix,6.0
Jos\u00e9 Callej\u00f3n,7.0
Jos\u00e9 Gay\u00e1,5.7
Joseph Gomez,5.9
Joshua Bohui,5.0
Joshua Brenet,5.5
Joshua Kimmich,6.6
Juan Bernat,5.9
Juan Cuadrado,6.3
Juan Foyth,5.0
Juan Jesus,5.6
Juan Mata,6.3
Juanfran,6.0
Julian Draxler,6.5
Julian Weigl,5.6
Julien Serrano,5.0
Justin Hoogma,5.2
Justin Kluivert,6.6
K. Navas,6.2
Kaj Sierhuis,5.2
Kalidou Koulibaly,6.5
Kamil Glik,5.9
Karim Benzema,7.7
Karlo Letica,5.4
Kasim Nuhu,5.2
Kasper Dolberg,6.8
Kaveh Rezaei,5.3
Keita,6.6
Kenny Tete,5.2
Kerem Caliskan,5.0
Kerem Demirbay,5.9
Kevin Akpoguma,5.2
Kevin De Bruyne,7.5
Kevin Gameiro,6.9
Kevin Malcuit,5.0
Kevin Mbabu,5.2
Kevin Mbabu,5.2
Kevin N'Doram,5.0
Kevin Rimane,5.0
Kevin Vogt,5.6
Khetag Khosonov,5.1
Kieran Trippier,6.2
Kiko Casilla,5.3
Kingsley Coman,6.5
Kirill Nababkin,5.5
Kirill Panchenko,5.0
Klaas-Jan Huntelaar,6.7
Koke,7.1
Konstantin Kuchaev,5.3
Konstantinos Galanopoulos,5.3
Konstantinos Manolas,5.0
Kostas Lamprou,5.3
Kostas Manolas,6.0
Kr\u00e9pin Diatta,5.3
Kristijan Bistrovic,5.3
Kwadwo Asamoah,5.4
Kyle Walker,6.2
Kyle Walker-Peters,5.2
Kylian Mbapp\u00e9,8.0
L\u00e9o Dubois,5.7
Lacina Traor\u00e9,6.1
Lass Diarra,5.3
Lasse Sch\u00f6ne,6.1
Laurent Lemoine,5.0
Lautaro Mart\u00ednez,6.2
Layvin Kurzawa,5.9
Lee Grant,5.3
Leo Seydoux,5.1
Leon Goretzka,6.4
Leonardo Bertone,5.3
Leonardo Bittencourt,6.0
Leonardo Bonucci,6.6
Leonardo Loria,5.0
Leonardo Merio,5.0
Leonardo Spinazzola,5.2
Leroy San\u00e9,7.0
Lionel Messi,8.4
Lior Refaelov,5.0
Loic Badiashile,5.0
Lois Openda,5.1
Lorenzo Insigne,7.4
Lorenzo Pellegrini,5.8
Loris Benito,5.2
Lu\u00eds Carlos Machado Mata,5.2
Luan Peres,5.4
Lubomir Fejsa,5.7
Luca Pellegrini,5.0
Lucas Hern\u00e1ndez,6.0
Lucas Tousart,5.5
Lucas V\u00e1zquez,6.5
Ludek Pernica,5.1
Luis Orejuela,5.0
Luizao,5.6
Luka Modric,6.7
Lukas Hejda,5.3
Lukas Rupp,5.2
Lukasz Piszczek,6.1
Luke Shaw,6.3
Luuk Koopmans,5.0
Luuk de Jong,6.6
M\u00e1rio Rui,5.9
Maciej Rybus,5.4
Mahmoud Dahoud,5.5
Maicon,5.6
Malcom,6.5
Manuel Akanji,5.9
Manuel Henriques Fernandes Fernandes,5.5
Manuel Neuer,6.6
Mapou Yanga-Mbiwa,5.4
Marc-Andr\u00e9 ter Stegen,6.5
Marcano,5.5
Marcel Schmelzer,6.0
Marcelo,5.7
Marcelo,6.5
Marcelo Brozovic,5.7
Marco Asensio,7.0
Marco B\u00fcrki,5.0
Marco Reus,7.6
Marco Verratti,6.4
Marco W\u00f6lfli,5.2
Marcos Llorente,5.0
Marcos Rojo,5.6
Marcus Rashford,7.1
Marek Hamsik,7.1
Marian Cisovsky,5.2
Mariano,5.4
Mariano,6.8
Mario Fernandes,5.8
Mario Mandzukic,7.3
